Name,AETB-8,,
Temperature Limit,1640,,
Density,128,,
Temperature,Specific Heat,Thermal Conductivity,Emissivity
172.222,4.40E+02,,
255.556,6.28E+02,4.90E-02,
294.261,,5.23E-02,
366.483,,5.89E-02,
394.444,8.79E+02,,
477.594,,6.98E-02,
533.333,1.06E+03,,
588.706,,8.22E-02,
672.222,1.15E+03,,
699.817,,9.69E-02,
811.111,1.21E+03,1.15E-01,
922.039,,1.36E-01,
950,1.24E+03,,
1033.15,,1.62E-01,
1088.89,1.26E+03,,
1144.26,,1.92E-01,
1227.78,1.27E+03,,
1255.37,,2.28E-01,
1366.48,,2.71E-01,
1477.59,,3.20E-01,
1533.15,,3.48E-01,
1644.26,,4.09E-01,
1755.37,,4.79E-01,
1811.11,1.27E+03,,
1866.48,,5.58E-01,
