Name,TUFI,Composite Surface,
Temperature Limit,1590,,
Density,1310,,
Temperature,Specific Heat,Thermal Conductivity,Emissivity
255.556,7.95E+02,8.43E-01,
300,,,8.73E-01
350,,,8.73E-01
394.444,9.00E+02,9.52E-01,
400,,,8.75E-01
450,,,8.78E-01
500,,,8.81E-01
533.333,1.00E+03,1.05E+00,
550,,,8.85E-01
600,,,8.88E-01
650,,,8.92E-01
672.222,1.09E+03,1.13E+00,
700,,,8.95E-01
750,,,8.98E-01
800,,,9.01E-01
811.111,1.19E+03,1.22E+00,
850,,,9.05E-01
900,,,9.07E-01
950,1.26E+03,1.30E+00,9.10E-01
1000,,,9.13E-01
1050,,,9.16E-01
1088.89,1.32E+03,1.38E+00,
1100,,,9.18E-01
1150,,,9.21E-01
1200,,,9.23E-01
1227.78,1.38E+03,1.45E+00,
1250,,,9.25E-01
1300,,,9.27E-01
1350,,,9.29E-01
1366.67,1.44E+03,1.53E+00,
1400,,,9.31E-01
1450,,,9.32E-01
1500,,,9.34E-01
1505.56,,1.60E+00,
1550,,,9.36E-01
1600,,,9.37E-01
1644.44,,1.69E+00,
1650,,,9.38E-01
1700,,,9.40E-01
1750,,,9.41E-01
1783.33,,1.84E+00,
1800,,,9.42E-01
1850,,,9.43E-01
1900,,,9.44E-01
1950,,,9.45E-01
2000,,,9.45E-01
